Iteration,PayloadSize,Latency(s),CPU(%),Memory(MB)
123,256,0.5988,15.32,6846.94
124,256,0.6098,22.68,6830.91
125,256,0.6431,10.12,6801.61
126,256,1.5217,18.14,6790.67
127,256,0.4117,12.80,6820.45
128,256,1.1881,15.62,6921.41
129,256,0.3392,0.00,6767.89
130,256,0.8599,18.78,6638.64
131,256,0.5358,50.05,6627.91
132,256,0.7458,6.17,6652.80
133,256,0.4826,21.87,6643.53
134,256,0.5896,12.85,6639.28
135,256,0.4856,16.78,6632.23
136,256,0.7109,19.76,6626.11
137,256,0.4383,28.60,6625.81
138,256,0.5822,30.93,6697.02
139,256,0.4739,24.50,6725.64
140,256,0.5850,20.13,6674.09
141,256,0.4640,19.23,6675.48
142,256,0.6414,18.00,6676.20
143,256,0.4148,16.99,6680.42
144,256,0.5099,25.11,6837.50
145,256,0.7238,18.25,6924.42
146,256,0.6368,13.41,6868.02
147,256,0.9068,24.74,6911.16
148,256,0.5334,10.49,6891.89
149,256,0.7310,9.49,6934.84
150,256,0.6952,20.36,6935.23
151,512,0.3891,18.89,6955.47
152,512,0.9631,37.97,6962.27
153,512,0.3932,41.04,6926.36
154,512,0.2582,29.73,6926.30
155,512,0.7056,31.25,7049.56
156,512,0.9980,26.28,6961.53
157,512,0.7642,25.79,6933.22
158,512,1.3759,8.02,6751.70
159,512,1.0812,14.45,6758.11
160,512,0.3706,21.13,6756.42
161,512,0.4553,23.17,6709.45
162,512,0.3910,23.32,6699.00
163,512,0.9390,31.29,6668.19
164,512,0.4295,26.39,6669.70
165,512,0.7739,28.32,6669.83
166,512,0.9258,20.00,6668.38
167,512,0.7701,40.00,6660.72
168,512,0.7525,69.92,6780.83
169,512,0.6851,38.46,6851.45
170,512,0.7831,28.95,6860.39
171,512,0.3713,0.00,6873.19
172,512,0.8387,26.81,6890.84
173,512,0.7020,18.52,6873.64
174,512,0.5010,7.69,6892.72
175,512,0.8638,18.57,6889.30
176,512,0.3003,13.75,6900.75
177,512,0.6847,27.38,6894.19
178,512,0.6639,28.90,6901.52
179,512,0.5745,21.52,6897.69
180,512,0.5722,25.75,6937.11
181,512,0.8454,12.20,6920.36
182,512,0.4172,14.40,6901.08
183,512,0.2992,38.27,6900.08
184,512,0.4545,28.56,6893.97
185,512,0.7109,23.96,6888.11
186,512,0.4185,15.52,6889.58
187,512,0.4241,19.25,6891.58
188,512,0.7891,26.78,6877.53
189,512,0.5925,8.86,6889.81
190,512,0.3985,15.83,6871.47
191,512,0.4991,32.44,6882.38
192,512,0.5492,32.29,6887.25
193,512,0.4917,28.75,6874.66
194,512,0.4506,29.38,6883.75
195,512,0.5322,36.61,6871.34
196,512,0.7397,12.50,6904.81
197,512,0.5476,10.63,6888.73
198,512,1.0499,30.63,6857.47
199,512,0.6402,30.54,6918.48
200,512,2.0165,32.49,6926.91
201,1024,0.3284,0.00,6919.23
202,1024,0.4905,34.94,6924.38
203,1024,0.6189,29.07,6916.83
204,1024,0.5699,27.21,6894.38
205,1024,0.5312,35.91,6912.62
206,1024,0.3892,19.38,6919.64
207,1024,1.2015,30.21,6945.97
208,1024,0.7767,31.38,6942.72
209,1024,0.4234,21.93,6950.22
210,1024,0.8662,23.10,6924.00
211,1024,0.8155,14.02,6929.94
212,1024,0.5995,18.18,6936.56
213,1024,0.3868,26.51,6938.70
214,1024,0.8025,28.61,6945.38
215,1024,0.4993,28.15,6945.25
216,1024,0.5068,31.05,6946.91
217,1024,0.5324,28.87,6949.03
218,1024,0.7741,13.46,6939.47
219,1024,0.5449,15.13,6949.22
220,1024,0.7713,27.46,6935.91
221,1024,0.3689,21.44,6935.80
222,1024,0.4168,11.31,6936.25
223,1024,0.5986,13.25,6953.41
224,1024,0.3423,0.00,6951.02
225,1024,0.6884,28.07,6935.81
226,1024,0.6893,21.04,6917.02
227,1024,0.5708,26.97,6926.00
228,1024,0.8011,31.86,6934.23
229,1024,0.7527,34.62,6947.64
230,1024,0.4807,19.55,6933.78
231,1024,0.7310,26.18,6947.88
232,1024,0.5421,26.21,6926.98
233,1024,0.5887,33.72,6937.53
234,1024,0.5439,35.19,6952.69
235,1024,0.5705,22.93,6944.38
236,1024,0.5084,15.00,6950.02
237,1024,1.2078,24.03,6946.58
238,1024,0.8006,33.54,6931.36
239,1024,0.5086,30.77,6935.80
240,1024,0.7547,11.25,6926.48
241,1024,0.7327,31.91,6948.45
242,1024,0.2866,0.00,6933.69
243,1024,0.4116,18.99,6915.94
244,1024,0.6925,34.57,6931.12
245,1024,0.5470,34.42,6929.11
246,1024,0.6351,28.05,6927.55
247,1024,0.8250,26.69,6933.86
248,1024,1.2243,54.22,6933.42
249,1024,0.8137,15.62,6942.25
250,1024,0.8982,35.70,6937.75
251,2048,0.3605,47.11,6949.30
252,2048,0.6353,40.41,6948.14
253,2048,0.7901,29.04,6938.09
254,2048,0.4776,19.35,6940.22
255,2048,0.6412,29.20,6954.05
256,2048,0.5557,27.02,6932.72
257,2048,0.4777,38.85,6949.48
258,2048,0.4007,38.37,6951.16
259,2048,0.3874,32.52,6968.23
260,2048,0.4294,36.06,6952.02
261,2048,0.8170,11.88,6942.47
262,2048,0.6322,7.50,6951.50
263,2048,0.3682,15.62,6922.28
264,2048,0.4017,23.28,6940.84
265,2048,0.7529,11.45,6931.52
266,2048,1.0471,28.64,6934.41
267,2048,0.8043,34.62,6922.69
268,2048,0.6294,10.53,6922.62
269,2048,0.8019,19.23,6929.98
270,2048,0.5956,17.72,6928.78
271,2048,0.5993,23.29,6939.83
272,2048,0.3684,32.50,6935.84
273,2048,0.4357,18.57,6932.38
274,2048,0.8329,23.06,6953.61
275,2048,0.4586,22.84,6961.72
276,2048,0.7265,33.71,6944.44
277,2048,1.0457,39.51,6951.23
278,2048,0.3857,30.39,6927.09
279,2048,0.8815,25.59,6935.02
280,2048,0.6494,23.42,6923.66
281,2048,0.4695,36.28,6946.61
282,2048,0.6504,25.95,6935.42
283,2048,0.4934,15.02,6900.20
284,2048,0.6555,9.49,6878.11
285,2048,0.5070,27.64,6975.92
286,2048,1.5487,40.79,6894.06
287,2048,1.4261,12.50,6739.59
288,2048,0.2831,30.13,6726.56
289,2048,0.4975,31.27,6765.83
290,2048,0.4663,17.45,6745.30
291,2048,0.3946,26.25,6706.78
292,2048,0.6089,27.38,6729.17
293,2048,0.6116,14.47,6724.61
294,2048,0.6041,33.97,6728.14
295,2048,0.4336,33.90,6742.06
296,2048,0.3963,0.00,6746.61
297,2048,0.7826,33.44,6731.69
298,2048,0.6441,29.94,6795.95
299,2048,0.5290,42.89,6839.27
300,2048,0.3538,29.63,6858.09
301,4096,0.4271,47.69,6895.36
302,4096,0.5074,22.15,6896.80
303,4096,1.3233,38.99,6829.58
304,4096,0.3039,29.94,6795.20
305,4096,0.6596,25.81,6808.86
306,4096,0.8546,25.35,6796.03
307,4096,0.7437,23.52,6792.66
308,4096,0.4687,17.43,6771.44
309,4096,0.7200,29.82,6772.98
310,4096,1.1040,18.99,7034.05
311,4096,0.5794,62.34,6915.78
312,4096,0.8225,12.18,6898.19
313,4096,0.4381,24.77,6893.84
314,4096,1.0184,35.79,7016.20
315,4096,0.8437,18.83,6933.12
316,4096,0.8804,40.21,6908.61
317,4096,0.7213,32.49,6906.12
318,4096,0.7250,22.40,6855.39
319,4096,0.4609,38.13,6836.31
320,4096,0.6026,53.00,6979.86
321,4096,0.7471,30.27,6981.84
322,4096,0.3541,29.88,6961.73
323,4096,0.3127,28.21,6970.14
324,4096,0.7916,23.92,6909.19
325,4096,0.7755,25.18,6972.58
326,4096,0.7395,11.73,6987.95
327,4096,0.4933,42.61,6951.42
328,4096,1.2863,41.42,7004.28
329,4096,0.3548,0.00,6997.20
330,4096,0.4247,33.61,6976.94
331,4096,0.8167,34.83,6973.83
332,4096,0.7704,44.08,6791.44
333,4096,0.6744,25.32,6782.62
334,4096,0.6597,10.63,6779.48
335,4096,0.8559,27.12,6783.64
336,4096,0.4624,16.32,6785.72
337,4096,0.6176,28.91,6793.03
338,4096,0.4768,32.24,6794.73
339,4096,0.3203,36.22,6728.59
340,4096,0.3711,33.36,6760.42
341,4096,0.6515,28.21,6740.28
342,4096,0.4440,34.17,6743.62
343,4096,0.8032,28.79,6718.02
344,4096,0.5564,30.86,6716.55
345,4096,0.5011,17.95,6702.47
346,4096,0.6607,27.91,6718.89
347,4096,1.0075,26.79,6721.28
348,4096,0.7966,32.91,6722.69
349,4096,1.0011,28.30,6702.67
350,4096,0.4251,24.37,6697.45
351,8192,0.7109,34.18,6708.08
352,8192,0.6361,7.23,6720.78
353,8192,0.8066,37.61,6710.89
354,8192,0.5984,57.35,6655.22
355,8192,0.6568,23.17,6681.66
356,8192,0.4205,18.54,6693.52
357,8192,0.4118,26.90,6684.89
358,8192,0.3605,34.77,6679.20
359,8192,0.9728,17.09,6671.17
360,8192,0.8057,35.66,6685.94
361,8192,0.4785,21.68,6701.64
362,8192,0.6449,36.31,6710.00
363,8192,0.6877,32.68,6736.84
364,8192,0.3888,35.37,6729.02
365,8192,0.4921,34.15,6713.48
366,8192,0.4050,31.38,6723.91
367,8192,0.9030,29.98,6731.20
368,8192,0.4274,32.85,6735.42
369,8192,0.2898,18.75,6709.73
370,8192,0.4240,17.28,6773.31
371,8192,0.6390,45.05,6743.14
372,8192,0.7024,26.68,6782.61
373,8192,0.7709,30.08,6849.72
374,8192,0.7662,28.76,6828.81
375,8192,0.4601,14.94,6804.83
376,8192,0.5335,28.56,6799.14
377,8192,0.7618,35.68,6781.14
378,8192,0.5790,42.34,6809.48
379,8192,0.9183,25.80,6835.66
380,8192,0.3826,35.21,6825.12
381,8192,0.6827,17.85,6814.92
382,8192,0.4876,36.42,6831.83
383,8192,0.4714,35.99,6858.61
384,8192,0.3474,29.04,6844.38
385,8192,0.3910,19.62,6859.62
386,8192,0.6187,35.01,6968.80
387,8192,0.5498,40.67,6916.58
388,8192,0.8317,36.30,6984.91
389,8192,0.5701,64.89,6910.72
390,8192,0.8974,40.10,6930.98
391,8192,0.5242,22.20,6955.78
392,8192,0.8020,45.12,6917.39
393,8192,1.0833,39.52,6933.50
394,8192,0.7553,37.23,6960.33
395,8192,0.4947,32.17,6942.73
396,8192,1.3595,46.24,6944.94
397,8192,0.5315,58.13,6920.83
398,8192,0.8834,54.47,6931.28
399,8192,1.0109,43.99,6944.98
400,8192,0.5000,31.33,6939.84
